F1,Date,YearCounter,Date Entered/Updated,Launch Time (UTC),Missile Name,Missile Type,Launch Agency/Authority,Facility Name,Facility Location,Other Name,Facility Latitude,Facility Longitude,Landing Location,Landing Latitude,Landing Longitude,Apogee,Distance Travelled,Confirmation Status,Test Outcome,Additional Information,Source(s)
39,20-May-13,6,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.37571,134.208984,Unknown,Unknown,Unconfirmed,Success,This missile type is extremely unclear. It is highly possible this and the other missiles launched during this test were anti-ship missiles or MLRS missiles. Both of these are too small and lack the range to be counted in this dataset which is why these are labeled as unconfirmed. The specific location is also dubious at best. We know North Korea likes to conduct MLRS tests here and the reports label the tests as occuring on the East Coast of North Korea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94H04P20130519; http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html; http://www.nytimes.com/2013/05/20/world/asia/north-korea-again-fires-short-range-missiles.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130520
40,27-Feb-14,1,5-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,39.435186,133.725586,80 km,200 km,Confirmed,Success,"It is possible this was a Scud-C. The missiles travelled a relatively short distance however, so short that South Korea initially assumed these were a KN-02 test. They later revised their assessment of these missiles as being Scuds. The range of this test puts these missiles on par with the Scud-B, however, North Korea has not launched any of those in a long time. It is also possible North Korea purposely targetted the missile in such a way as to limit its range. The evidence and available information is not really clear.",http://www.astronautix.com/k/koreanorth.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227; http://www.nytimes.com/2014/02/28/world/asia/north-korea-displays-another-captured-missionary.html; https://www.csis.org/analysis/north-korea%E2%80%99s-scud-missile-test; https://www.nknews.org/2014/02/north-korea-launches-four-short-range-missiles-into-east-sea/
41,27-Feb-14,2,5-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,39.235186,133.125586,Unknown,200 km,Confirmed,Success,"It is possible this was a Scud-C. The missiles travelled a relatively short distance however, so short that South Korea initially assumed these were a KN-02 test. They later revised their assessment of these missiles as being Scuds. The range of this test puts these missiles on par with the Scud-B, however, North Korea has not launched any of those in a long time. It is also possible North Korea purposely targetted the missile in such a way as to limit its range. The evidence and available information is not really clear.",http://www.astronautix.com/k/koreanorth.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227; http://www.nytimes.com/2014/02/28/world/asia/north-korea-displays-another-captured-missionary.html; https://www.csis.org/analysis/north-korea%E2%80%99s-scud-missile-test; https://www.nknews.org/2014/02/north-korea-launches-four-short-range-missiles-into-east-sea/
42,27-Feb-14,3,5-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,39.935186,133.825586,Unknown,200 km,Confirmed,Success,"It is possible this was a Scud-C. The missiles travelled a relatively short distance however, so short that South Korea initially assumed these were a KN-02 test. They later revised their assessment of these missiles as being Scuds. The range of this test puts these missiles on par with the Scud-B, however, North Korea has not launched any of those in a long time. It is also possible North Korea purposely targetted the missile in such a way as to limit its range. The evidence and available information is not really clear.",http://www.astronautix.com/k/koreanorth.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227; http://www.nytimes.com/2014/02/28/world/asia/north-korea-displays-another-captured-missionary.html; https://www.csis.org/analysis/north-korea%E2%80%99s-scud-missile-test; https://www.nknews.org/2014/02/north-korea-launches-four-short-range-missiles-into-east-sea/
43,27-Feb-14,4,5-Jan-17,,Scud-B,SRBM,,Kittaeryong Missile Base,"Kittae Pass, Kangwon Province, (North Korea)",Gitdaeryung,38.99083,127.6236,Sea of Japan or East Sea,39.695186,133.425586,Unknown,200 km,Confirmed,Success,"It is possible this was a Scud-C. The missiles travelled a relatively short distance however, so short that South Korea initially assumed these were a KN-02 test. They later revised their assessment of these missiles as being Scuds. The range of this test puts these missiles on par with the Scud-B, however, North Korea has not launched any of those in a long time. It is also possible North Korea purposely targetted the missile in such a way as to limit its range. The evidence and available information is not really clear.",http://www.astronautix.com/k/koreanorth.html; http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227; http://www.nytimes.com/2014/02/28/world/asia/north-korea-displays-another-captured-missionary.html; https://www.csis.org/analysis/north-korea%E2%80%99s-scud-missile-test; https://www.nknews.org/2014/02/north-korea-launches-four-short-range-missiles-into-east-sea/
44,3-Mar-14,5,5-Jan-17,,Scud-C,SRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Sea of Japan or East Sea,38.41809,136.142578,150 km,500 km,Confirmed,Success,,http://www.astronautix.com/g/gitdaeryung.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.upi.com/North-Korea-fires-2-more-short-range-missiles/12901393868685/; http://www.cnbc.com/2014/03/03/north-korea-fires-2-more-missiles-amid-us-drills.html; http://www.cnn.com/2014/03/02/world/asia/north-korea-missiles/; http://www.armscontrolwonk.com/archive/207549/dprk-missile-rocket-launches/; http://www.mod.go.jp/e/pressconf/2014/03/140304.html
45,3-Mar-14,6,5-Jan-17,,Scud-C,SRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Sea of Japan or East Sea,38.41809,136.142578,Unknown,500 km,Confirmed,Success,,http://www.astronautix.com/g/gitdaeryung.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.upi.com/North-Korea-fires-2-more-short-range-missiles/12901393868685/; http://www.cnbc.com/2014/03/03/north-korea-fires-2-more-missiles-amid-us-drills.html; http://www.cnn.com/2014/03/02/world/asia/north-korea-missiles/; http://www.armscontrolwonk.com/archive/207549/dprk-missile-rocket-launches/; http://www.mod.go.jp/e/pressconf/2014/03/140304.html
46,26-Mar-14,7,5-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031,Sea of Japan or East Sea,38.21809,137.942578,150 km,650 km,Confirmed,Success,,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; https://www.armscontrol.org/factsheets/dprkchron; http://www.nytimes.com/2014/03/26/world/asia/north-korea-launches-two-midrange-missiles.html; http://www.bbc.com/news/world-asia-26743197; 
47,26-Mar-14,8,5-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031,Sea of Japan or East Sea,38.41809,137.142578,150 km,650 km,Confirmed,Success,,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; https://www.armscontrol.org/factsheets/dprkchron; http://www.nytimes.com/2014/03/26/world/asia/north-korea-launches-two-midrange-missiles.html; http://www.bbc.com/news/world-asia-26743197; 
48,26-Jun-14,9,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,38.898515,132.451172,Unknown,Unknown,Confirmed,Success,The exact location of this test is unclear.,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
49,29-Jun-14,10,23-Aug-17,,Scud-C,SRBM,,Masikryong,"Kangwon Province, (North Korea)","Masikryong Ski Resort, Masik Pass",39.065962,127.250257,Sea of Japan or East Sea,40.394673,134.296875,150 km,Unknown,Confirmed,Success,"Initially placed at Wonson airport, this test actually took place slightly to the West of its originally plotted location at a ski resort just outside Wonson. The resort, which was under contruction at the time, is called the Masikryong Ski Resort. The test was approximately 23 km from the originally plotted location. This ski resort itself is an interesting choice to hold this test at. North Korea built the resort in the hopes to host a few events from the 2018 Winter Olympic Games at the resort. If North Korea does get to host a few events at the resort, Olympians will get the unique experience of snowboarding around a North Korea missile test site. It seems somewhat ironic to host a few Olympic events where a missile test, designed to intimidate neighbors, was carried out.",http://www.astronautix.com/g/gitdaeryung.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://nypost.com/2014/06/29/north-korea-fired-more-short-range-missiles-seoul/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN0F405H20140629; http://www.cnn.com/2014/06/28/world/asia/north-korea-missile-launch/
50,29-Jun-14,11,23-Aug-17,,Scud-C,SRBM,,Masikryong,"Kangwon Province, (North Korea)","Masikryong Ski Resort, Masik Pass",39.065962,127.250257,Sea of Japan or East Sea,39.789544,134.296875,150 km,Unknown,Confirmed,Success,"Initially placed at Wonson airport, this test actually took place slightly to the West of its originally plotted location at a ski resort just outside Wonson. The resort, which was under contruction at the time, is called the Masikryong Ski Resort. The test was approximately 23 km from the originally plotted location. This ski resort itself is an interesting choice to hold this test at. North Korea built the resort in the hopes to host a few events from the 2018 Winter Olympic Games at the resort. If North Korea does get to host a few events at the resort, Olympians will get the unique experience of snowboarding around a North Korea missile test site. It seems somewhat ironic to host a few Olympic events where a missile test, designed to intimidate neighbors, was carried out.",http://www.astronautix.com/g/gitdaeryung.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://nypost.com/2014/06/29/north-korea-fired-more-short-range-missiles-seoul/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN0F405H20140629; http://www.cnn.com/2014/06/28/world/asia/north-korea-missile-launch/
51,9-Jul-14,12,29-Nov-17,,Scud-C,SRBM,,Hwangju,"Hwangju,  North Hwanghae province",Unknown,38.686834,125.702005,Sea of Japan or East Sea,40.260665,134.648438,100 km,500 km,Confirmed,Success,Launch appears to have taken place at night. Images are similar to other images taken from Hwangju,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.cnn.com/2014/07/08/world/asia/north-korea-missiles/; http://www.nytimes.com/2014/07/09/world/asia/north-korea-fires-2-more-ballistic-missiles.html; http://www.mod.go.jp/e/pressconf/2014/07/140709a.html; http://web-uridongpo.com/2014/07/10/%EC%A1%B0%EC%84%A0%EC%9D%B8%EB%AF%BC%EA%B5%B0-%EC%B5%9C%EA%B3%A0%EC%82%AC%EB%A0%B9%EA%B4%80-%EA%B9%80%EC%A0%95%EC%9D%80%EB%8F%99%EC%A7%80%EA%BB%98%EC%84%9C-%EC%A1%B0%EC%84%A0%EC%9D%B8%EB%AF%BC-10/; http://korean.people.com.cn/84966/98347/15430926.html#;
52,9-Jul-14,13,29-Nov-17,,Scud-C,SRBM,,Hwangju,"Hwangju,  North Hwanghae province",Unknown,38.686834,125.702005,Sea of Japan or East Sea,40.126391,133.945313,100 km,500 km,Confirmed,Success,,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.cnn.com/2014/07/08/world/asia/north-korea-missiles/; http://www.nytimes.com/2014/07/09/world/asia/north-korea-fires-2-more-ballistic-missiles.html; http://www.mod.go.jp/e/pressconf/2014/07/140709a.html; http://web-uridongpo.com/2014/07/10/%EC%A1%B0%EC%84%A0%EC%9D%B8%EB%AF%BC%EA%B5%B0-%EC%B5%9C%EA%B3%A0%EC%82%AC%EB%A0%B9%EA%B4%80-%EA%B9%80%EC%A0%95%EC%9D%80%EB%8F%99%EC%A7%80%EA%BB%98%EC%84%9C-%EC%A1%B0%EC%84%A0%EC%9D%B8%EB%AF%BC-10/; http://korean.people.com.cn/84966/98347/15430926.html#;
53,13-Jul-14,14,5-Jan-17,,Scud-C,SRBM,,Kaesong,North Hwanghae Province,,37.9382,126.5878,Sea of Japan or East Sea,39.383141,133.59375,120 km,500 km,Confirmed,Success,These tests actually took place just outside of Kaesong. A more precise location could not be established.,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.cnn.com/2014/07/12/world/asia/north-korea-missiles/; http://www.usatoday.com/story/news/world/2014/07/13/north-korea-launches-missiles-in-latest-test-fire/12591371/; https://www.theguardian.com/world/2014/jul/13/north-korea-missiles-sea-military-drill; http://www.mod.go.jp/e/pressconf/2014/07/140713.html; http://www.armscontrolwonk.com/archive/207549/dprk-missile-rocket-launches/
54,13-Jul-14,15,5-Jan-17,,Scud-C,SRBM,,Kaesong,North Hwanghae Province,,37.9382,126.5878,Sea of Japan or East Sea,39.042653,133.59375,120 km,500 km,Confirmed,Success,These tests actually took place just outside of Kaesong. A more precise location could not be established.,http://www.astronautix.com/k/koreanorth.html; http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.cnn.com/2014/07/12/world/asia/north-korea-missiles/; http://www.usatoday.com/story/news/world/2014/07/13/north-korea-launches-missiles-in-latest-test-fire/12591371/; https://www.theguardian.com/world/2014/jul/13/north-korea-missiles-sea-military-drill; http://www.mod.go.jp/e/pressconf/2014/07/140713.html; http://www.armscontrolwonk.com/archive/207549/dprk-missile-rocket-launches/
55,26-Jul-14,16,5-Jan-17,,Scud-C,SRBM,,Unknown,Unknown,Unknown,Unknown,Unknown,Sea of Japan or East Sea,39.586641,133.59375,Unknown,500 km,Confirmed,Success,The most specific location information acquired for this test so far is that it occurred in the Southwest of the Hwanghae province in North Korea. Unfortunately nobody seems to clarify whether this was the province of North Hwanghae or South Hwanghae.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201506161152304650.pdf; http://www.npr.org/sections/thetwo-way/2014/07/26/335581206/north-korea-reportedly-tests-short-range-ballistic-missile; http://www.washingtontimes.com/news/2014/jul/26/north-korea-fires-short-range-missile-sea/; 
56,14-Aug-14,17,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.518874,133.330078,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
57,1-Sep-14,18,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.179046,132.890625,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
58,6-Sep-14,19,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.857046,134.033203,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
59,8-Feb-15,1,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.45104,133.505859,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
60,8-Feb-15,2,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.247144,133.681641,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
61,8-Feb-15,3,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,38.905996,133.417969,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
62,8-Feb-15,4,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.991851,133.857422,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
63,8-Feb-15,5,5-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.315175,133.59375,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
64,1-Mar-15,6,6-Jan-17,,Scud-C,SRBM,,Nampo,South Pyongan Province,,38.7523,125.3247,Sea of Japan or East Sea,38.408406,133.066406,134 km,490 km,Confirmed,Success,These tests took place slightly south of Nampo. A more precise location could not be established.,http://www.voanews.com/a/north-korea-fires-rockets-as-joint-us-south-korean-maneuvers-begin/2664198.html; http://www.astronautix.com/k/koreanorth.html; http://www.mod.go.jp/e/pressconf/2015/03/150302.html
65,1-Mar-15,7,6-Jan-17,,Scud-C,SRBM,,Nampo,South Pyongan Province,,38.7523,125.3247,Sea of Japan or East Sea,39.501921,134.208984,134 km,490 km,Confirmed,Success,These tests took place slightly south of Nampo. A more precise location could not be established.,http://www.voanews.com/a/north-korea-fires-rockets-as-joint-us-south-korean-maneuvers-begin/2664198.html; http://www.astronautix.com/k/koreanorth.html; http://www.mod.go.jp/e/pressconf/2015/03/150302.html
66,2-Apr-15,8,6-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,38.683366,134.472656,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
67,3-Apr-15,9,6-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,38.614724,133.769531,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
68,3-Apr-15,10,6-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.501921,135.175781,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
69,3-Apr-15,11,6-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,40.778462,136.582031,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
70,3-Apr-15,12,6-Jan-17,,KN-02,SRBM,,North Wonsan,"Kangwon Province, (North Korea)",,39.40167,127.5369,Sea of Japan or East Sea,39.025585,134.208984,Unknown,Unknown,Confirmed,Success,,http://www.un.org/ga/search/view_doc.asp?symbol=S/2016/157; http://www.armscontrolwonk.com/archive/207432/geolocating-north-koreas-14-august-toksa-launch/
71,8-May-15,13,6-Jan-17,,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,Unknown,39.025585,133.769531,Unknown,Unknown,Confirmed,Success,"Later analysis of this test showed that it was not launched from a submarine, like North Korea claimed, but from a submerged barge. Nevertheless, the test marked an important milestone for North Korean missile development. North Korea announced this test on May 9th (local time) but most assume the test occurred the day before.",http://www.defensenews.com/story/defense/international/asia-pacific/2015/05/10/north-korea-submarine-launched-ballistic-missile-test-fired/27083023/; http://38north.org/2015/05/jbermudez051315/; http://thediplomat.com/2015/05/a-first-north-korea-tests-polaris-1-slbm/; 
72,28-Nov-15,14,6-Jan-17,,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,N/A,39.705074,135.527344,N/A,N/A,Confirmed,Failure,"Reportedly, the missile failed to properly eject from the submarine causing damage to the sub itself. The sub appears to have undergone repairs and remains seaworthy.",http://thediplomat.com/2015/11/north-koreas-submarine-launched-ballistic-missile-test-fails/; http://www.koreatimesus.com/institute-n-korea-continues-to-develop-sub-missile-despite-setback/
73,21-Dec-15,15,6-Jan-17,,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,N/A,38.132396,133.945313,N/A,N/A,Confirmed,Failure,"The missile appeared to have ejected successfully, however, it then exploded. North Korea appears to have doctored the footage to make it appear as though the test was a success.",http://www.armscontrolwonk.com/archive/1200759/video-analysis-of-dprk-slbm-footage/; http://thediplomat.com/2016/01/north-korea-tests-a-submerged-launch-ballistic-missile-take-3/
74,7-Feb-16,1,28-Nov-17,12:29:00 AM,Unha-3,SLV,,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",North Pyongan,39.6596,124.7057,N/A,38.132396,133.815313,502 km,N/A,Confirmed,Success,"North Korea successfully inserted a satellite into orbit. South Korea estimates the satellite has a mass of about 200 kg, about twice the estimated mass of North Korea's previous satellite. ",http://www.bbc.com/news/world-asia-35515207; https://www.csis.org/analysis/north-korea%E2%80%99s-february-2016-satellite-launch; http://38north.org/2016/02/melleman021016/
75,10-Mar-16,2,6-Jan-17,,Scud-C,SRBM,,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,39.434072,135.087891,Unknown,Unknown,Confirmed,Success,"Exact location of launch is uncertain. CNN states the missiles came from the North Hwanghae province, just south of Pyongyang which would suggest the test was carried out at Hwanju. Hwanju has become a fairly active testing location for North Korea. However, the BBC says the tests were carried out on the ""east coast"" of North Korea, which is impossible if they were conducted in the North Hwanghae province which does not border the sea. Unfortunately finding a direct source from somewhere like STRATCOM or the Japanese Ministry of Defense for this test has been difficult.",http://www.cnn.com/2016/03/10/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-35770198; http://www.mod.go.jp/e/pressconf/2016/03/160311.html
76,10-Mar-16,3,6-Jan-17,,Scud-C,SRBM,,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,39.298174,134.736328,Unknown,Unknown,Confirmed,Success,"Exact location of launch is uncertain. CNN states the missiles came from the North Hwanghae province, just south of Pyongyang which would suggest the test was carried out at Hwanju. Hwanju has become a fairly active testing location for North Korea. However, the BBC says the tests were carried out on the ""east coast"" of North Korea, which is impossible if they were conducted in the North Hwanghae province which does not border the sea. Unfortunately finding a direct source from somewhere like STRATCOM or the Japanese Ministry of Defense for this test has been difficult.",http://www.cnn.com/2016/03/10/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-35770198; http://www.mod.go.jp/e/pressconf/2016/03/160311.html
77,18-Mar-16,4,6-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031,Sea of Japan or East Sea,39.162011,137.285156,Unknown,800 km,Confirmed,Success,"There is contradictory information about the location of these tests. CNN reports from a source within the South Korean Chiefs of Staff that the launch came from Sukchon, other sources have stated the test came from the ""west coast"" of North Korea. It's possible reports are mixing this test up with another test conducted only a few days before.",http://www.cnn.com/2016/03/17/asia/north-korea-missile-launch/; http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0WJ30V; http://www.bbc.com/news/world-asia-35835088
78,18-Mar-16,5,6-Jan-17,,Nodong,MRBM,,Sunchon Airbase,South Pyongan Province,,39.412594,125.89031,Sea of Japan or East Sea,39.637422,131.835938,17 km,Unknown,Confirmed,Failure,"There is contradictory information about the location of these tests. CNN reports from a source within the South Korean Chiefs of Staff that the launch came from Sukchon, other sources have stated the test came from the ""west coast"" of North Korea. It's possible reports are mixing this test up with another test conducted only a few days before. This missile specifically disappeared from radar about 17 seconds into flight suggesting that it suffered a critical failure and exploded.",http://www.cnn.com/2016/03/17/asia/north-korea-missile-launch/; http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0WJ30V; http://www.bbc.com/news/world-asia-35835088
79,15-Apr-16,6,28-Nov-17,8:33:00 PM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Unknown,39.366156,128.671875,Unknown,Unknown,Confirmed,Failure,"No report ever provided more specific information beyond ""the Wonson area"". However, considering North Korea later conducted a number of other Musudan tests at the airport, and considering there were a number of reports about North Korea deploying a number of Musudan missiles to that area as well, it is highly likely this test was carried out in the same place as most of the other Musudan tests. The failed Musudan test set the stage for further Musudan tests in that, like this one, they almost all failed. The string of failures likely prompted North Korea to abandon the missile. The Hwasong-12 appears to have replaced the Musudan as North Korea's IRBM.",https://www.washingtonpost.com/world/asia_pacific/north-koreas-missile-has-failed-officials-from-south-say/2016/04/14/8eb2ce53-bc38-40d0-9013-5655bed26764_story.html; http://english.yonhapnews.co.kr/national/2016/04/15/51/0301000000AEN20160415002751315F.html; http://www.aljazeera.com/news/2016/04/report-north-korea-deploys-ballistic-missiles-160414164939650.html; http://www.nytimes.com/2016/04/15/world/asia/north-korea-ballistic-missile-launch-a-failure-pentagon-says.html?mabReward=A3&action=click&pgtype=Homepage&region=CColumn&module=Recommendation&src=rechp&WT.nav=RecEngine; http://www.bbc.com/news/world-asia-36051354; http://www.foxnews.com/world/2016/04/14/north-korea-prepared-to-ring-in-founders-birthday-with-ballistic-missile-launch.html; http://www.cnn.com/2016/04/14/asia/north-korea-missile-launch/
80,23-Apr-16,7,28-Nov-17,9:29:00 AM,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,Unknown,39.298174,128.444531,Unknown,30 km,Confirmed,Success,"This test is believed to be the first successful North Korean SLBM test. Some consider this test only to be a partial success as the missile only flew 30 km, well short of the believed 300 km minimum people expected. However, its possible North Korea did not intend the test to be a full flight test of the missile. Finally, this database codes anything that doesn't explode during launch as a success and this missile does not appear to have done that.",http://www.bbc.com/news/world-asia-36119159; https://en.wikipedia.org/wiki/Pukkuksong-1
81,27-Apr-16,8,28-Nov-17,9:33:00 PM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,N/A,39.298174,129.144531,Unknown,Unknown,Confirmed,Failure,,http://edition.cnn.com/2016/04/28/asia/north-korea-failed-missile-launch/; https://www.stratcom.mil/news/2016/611/UPDATE_1_-_USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launches/
82,28-Apr-16,9,28-Nov-17,10:24:00 AM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,N/A,39.298174,128.76531,Unknown,Unknown,Confirmed,Failure,,http://edition.cnn.com/2016/04/28/asia/north-korea-failed-missile-launch/; https://www.stratcom.mil/news/2016/611/UPDATE_1_-_USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launches/
